sample_id,mouse_id,condition,gene_a,gene_b,gene_c,gene_d
s001,m001,control ,4.53,2.1,10.314,5.548
s002,m001,Control,3.654,2.172,14.907,6.11
s003,m001,control,3.868,3.255,8.838,5.952
s004,m001,control ,7.34,2.502,14.56,7.683
s005,m001,control,4.433,4.372,11.965,9.291
s006,m002,CONTROL,4.842,3.25,11.706,5.149
s007,m002,control,4.588,1.931,,7.882
s008,m002,control ,2.827,0.979,,7.176
s009,m002,control ,4.402,3.035,8.834,5.43
s010,m002,CONTROL,2.827,2.756,12.854,6.465
s011,m003,CONTROL,5.383,3.936,13.215,8.722
s012,m003,CONTROL,4.617,1.131,12.469,6.082
s013,m003,control ,7.083,2.316,13.77,8.419
s014,m003,control ,5.88,4.537,11.323,5.978
s015,m003,control,6.139,,12.665,9.435
s016,m004,control ,3.855,,9.957,8.228
s017,m004,CONTROL,4.463,5.022,13.854,9.686
s018,m004,CONTROL,,0.455,15.193,4.875
s019,m004,control ,5.132,1.966,15.265,9.324
s020,m004,Control,,2.886,12.543,5.356
s021,m005,CONTROL,4.076,3.777,9.467,6.32
s022,m005,control ,2.675,3.425,13.805,7.932
s023,m005,CONTROL,5.868,1.986,17.647,5.62
s024,m005,control,,3.671,10.561,9.093
s025,m005,Control,5.499,2.253,14.925,5.709
s026,m006,control,5.891,2.04,12.087,9.884
s027,m006,CONTROL,5.099,3.536,10.545,8.13
s028,m006,control,5.576,,11.592,1.379
s029,m006,control ,4.581,2.097,13.556,7.399
s030,m006,control ,4.67,0.983,9.081,7.556
s031,m007,Control,4.469,3.189,12.343,7.054
s032,m007,control,5.181,3.279,,6.228
s033,m007,control,5.659,3.128,10.57,7.554
s034,m007,Control,5.887,1.948,11.644,7.097
s035,m007,control,4.404,1.472,9.314,4.694
s036,m008,control,4.255,2.274,12.424,6.719
s037,m008,control,4.093,,11.288,6.679
s038,m008,control ,6.438,4.349,14.636,10.119
s039,m008,CONTROL,5.488,3.576,12.632,10.19
s040,m008,control ,7.353,3.794,12.986,5.316
s041,m009,control,4.588,1.333,10.712,7.54
s042,m009,control ,5.6,2.556,10.422,7.009
s043,m009,control,3.501,3.497,15.341,8.221
s044,m009,CONTROL,,2.758,7.429,4.256
s045,m009,control ,4.742,1.977,6.785,5.097
s046,m010,Control,5.081,3.738,14.247,6.491
s047,m010,CONTROL,4.911,2.552,10.71,8.441
s048,m010,control ,4.02,4.19,14.155,7.054
s049,m010,control,3.637,5.409,13.158,7.258
s050,m010,CONTROL,5.106,3.5,9.898,7.425
s051,m011,control,4.045,3.618,11.199,7.403
s052,m011,control,7.684,3.527,11.976,n.d.
s053,m011,control,5.807,4.325,11.569,9.515
s054,m011,control,4.611,0.95,10.134,5.415
s055,m011,control,5.35,1.794,11.28,7.299
s056,m012,control ,3.871,2.867,13.985,6.095
s057,m012,control ,4.639,3.07,11.154,6.499
s058,m012,control ,4.549,1.694,11.885,6.16
s059,m012,CONTROL,4.263,3.237,12.999,5.323
s060,m012,control,3.531,2.335,13.565,6.14
s061,m013,Control,4.406,3.116,,7.644
s062,m013,Control,4.475,2.576,13.665,6.796
s063,m013,CONTROL,5.823,1.725,14.751,9.541
s064,m013,control ,5.566,3.707,15.716,5.347
s065,m013,control ,5.042,1.836,16.024,6.129
s066,m014,control,5.048,3.812,10.398,6.101
s067,m014,Control,3.355,2.008,9.924,6.348
s068,m014,Control,4.638,4.625,13.415,n.d.
s069,m014,control,5.655,3.209,13.382,9.071
