mouse_id,sex,age_weeks,batch
m001,M,29,batch1
m002,F,12,batch1
m003,F,28,batch1
m004,M,27,batch1
m005,F,29,batch1
m006,F,25,batch1
m007,F,19,batch1
m008,F,21,batch1
m009,M,12,batch1
m010,F,15,batch1
m011,M,18,batch1
m012,M,28,batch1
m013,M,25,batch1
m014,M,20,batch1
m015,M,21,batch1
m016,F,17,batch1
m017,M,17,batch1
m018,M,27,batch1
m019,F,8,batch1
m020,F,15,batch1
m021,F,16,batch2
m022,M,23,batch2
m023,M,17,batch2
m024,M,14,batch2
m025,F,9,batch2
m026,M,13,batch2
m027,M,10,batch2
m028,M,23,batch2
m029,F,17,batch2
m030,M,13,batch2
m031,M,19,batch2
m032,M,18,batch2
m033,M,18,batch2
m034,F,20,batch2
m035,F,21,batch2
m036,F,12,batch2
m037,F,11,batch2
m038,F,24,batch2
m039,F,29,batch2
m040,F,20,batch2
m041,M,17,batch3
m042,M,21,batch3
m043,F,8,batch3
m044,F,16,batch3
m045,F,15,batch3
m046,M,17,batch3
m047,M,24,batch3
m048,F,18,batch3
m049,F,26,batch3
m050,F,18,batch3
m051,M,8,batch3
m052,F,22,batch3
m053,F,25,batch3
m054,F,20,batch3
m055,F,28,batch3
m056,M,17,batch3
m057,F,25,batch3
m058,F,8,batch3
m059,M,8,batch3
m060,F,25,batch3
